,hash,author,date,commit_message,is_merge,codebase_size,lines_changed,total_lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing
0,9ab86189068a665bea7110bc3e19edcfc4b0587e,Areski Belaid,2013-04-08 10:46:24+00:00,import nvd3 python,False,442,442,442,442,0,0.46794871794871795,0.46794871794871795,0.42948717948717946
1,a586acde31b11e85e0d3c1a3320c18b331f0d68c,Areski Belaid,2013-04-08 10:56:02+00:00,project skel,False,627,185,627,185,0,0.18181818181818182,0.18181818181818182,0.18181818181818182
2,9ecf439757aa8de067f47bd63414aee9ce19540a,Areski Belaid,2013-04-08 11:12:14+00:00,add docs,False,1326,703,1330,701,2,,,
3,192162cfdb9ba9b862499522467914dbc3c7bd51,Areski Belaid,2013-04-08 11:25:13+00:00,clean up code header / add more info on the top file nvd3.py,False,1304,64,1394,21,43,,,
4,80bc5c1efc72bb02148b7736dcc015e479bcba92,Areski Belaid,2013-04-08 11:58:25+00:00,improve samples data,False,1315,89,1483,50,39,1.0,0.0,0.0
5,ed029fb17cbdfbfd880a47f551d16891409a02d8,Areski Belaid,2013-04-08 12:01:17+00:00,add examples py file,False,1324,185,1668,97,88,,,
6,84b381017372428ea8801db74ae423358ae76b12,Areski Belaid,2013-04-08 13:35:10+00:00,update documentation / example / add screenshot,False,1354,100,1768,65,35,,,
7,af046ef2b0a5d8e0483a95a26357504e5824b304,Areski Belaid,2013-04-08 15:15:31+00:00,update doc / improve code,False,1402,108,1876,78,30,1.0,1.0,1.0
8,cc8692150ea59f5720ccce9d85d96c83b4434ba5,Areski Belaid,2013-04-08 15:18:01+00:00,update version,False,1402,2,1878,1,1,,,
9,1c7547c8a54e0dc335a4abe7c060ee816b1ffee8,Areski Belaid,2013-04-08 16:02:52+00:00,add stackedAreaChart support + refactor code,False,1429,71,1949,49,22,1.0,1.0,0.0
10,1519539fa1916fbd387aa556200caf50af7a389d,Areski Belaid,2013-04-08 17:13:06+00:00,refactoring,False,1444,91,2040,53,38,1.0,1.0,0.9230769230769231
11,bbc9baba5f34cc29582378c433bd16588c07e85d,Areski Belaid,2013-04-08 17:13:17+00:00,add new example,False,1474,30,2070,30,0,,,
12,d1f9ac9950bfa6be3611fe51e52d82ee027fe294,Shrenik Patel,2013-04-09 06:20:08+00:00,add sample doc string on nvd3 classes,False,1525,51,2121,51,0,,,
13,6c29f208825c5146befb99b60b085397f635b6ab,Shrenik Patel,2013-04-09 07:10:23+00:00,add sample doc string on nvd3 classes,False,1585,72,2193,66,6,,,
14,f86f334cac9a12f39f47bb5a2700ff7e08efa06e,Shrenik Patel,2013-04-09 07:31:56+00:00,sample test code file,False,1609,28,2221,26,2,1.0,1.0,1.0
15,405798448c99ee8793e39f5d2625019dbb41d2a6,Shrenik Patel,2013-04-09 07:56:44+00:00,sample testcases,False,1658,55,2276,52,3,1.0,1.0,1.0
16,1b3455c682337a4939b81e932991c4b7b6f9d0b8,Areski Belaid,2013-04-09 09:36:47+00:00,switch example order,False,1657,33,2309,16,17,,,
17,f1785e5969756c42023c60e1d90db4c0c6706544,Shrenik Patel,2013-04-09 09:48:36+00:00,sample doc string on nvd3 classes,False,1698,43,2352,42,1,,,
18,748c62d23681335cb3678f3bcee6efa2263bbf4f,Areski Belaid,2013-04-09 09:53:49+00:00,add new method set_containerheader,False,1699,27,2379,14,13,1.0,1.0,1.0
19,bddcd20c201c1d58a40f9b98db57e5c422af8831,Shrenik Patel,2013-04-09 10:10:21+00:00,sample doc string on nvd3 classes,False,1773,82,2461,78,4,,,
20,023e3c77e40b3ec12a7fb7b662b5bffbf8032573,Shrenik Patel,2013-04-09 10:47:01+00:00,try to override buildjschart for piechart,False,1810,71,2532,54,17,0.0,1.0,1.0
21,60bf359db0ce11decefc084b8fc25f87e6ed40e3,Areski Belaid,2013-04-09 11:03:34+00:00,rollback,False,1810,88,2620,44,44,1.0,0.0,0.0
22,7a9a08be16d10d6f6c189a746b4a4f223203d73f,Areski Belaid,2013-04-09 11:08:50+00:00,method logical/readable  order,False,1814,22,2642,13,9,,,
23,84bb99ec726b773dd52cbdda1db674b500dedfb8,Areski Belaid,2013-04-09 11:57:13+00:00,update header carriage return,False,1817,7,2649,5,2,,,
24,71d1ec53ffa442ea675c832ecb495be8b2aa7842,Shrenik Patel,2013-04-09 12:53:55+00:00,comment code for tooltip,False,1820,3,2652,3,0,,,
